year,text
2005-11-08, Facilities (Kitchen, bathrooms, showers) are very poor.
2012-10-23, It was good, the only problem was with the cold water to take a shower.
2013-01-03, A decent clean place, nothing especially awesome, but staff were friendly and helpful.
2013-02-28, Very good hostel,clean,good safe,safe, the best hostel I ever stayed. I recommend.
2011-04-06, in general good. but dampness in room, dirty and so smalling wc on living floors, not nice shower.
2010-07-18, Its located in a really busy area during the night so make sure you take some ear plugs with you...
2013-04-04, location was okay. the window was broken in our room so it was very cold at nighttime.
2008-10-02, Bed was abit lumpy and the shower had a mind of its own but good stay overall.
2008-06-17, Very nice room and the location are good (not excellent)
2008-11-28, Very impressed with service, quality and location of the B&B.; Highly recommended!
2009-11-29, grumpiest man i have ever met at reception 0100 on the 28/11/09
2011-04-25, Clean, very secure, very helpful and fun staff. Nice kitchen and common room, good wifi.
2011-04-10, A good place to stay. Staff is very helpful.
2010-10-02, Good tryouts.
2008-06-19, really nice atmosphere, the staff let you be yet it was safe, all in all- its cheap and good!
2008-08-08, Very friendly staff. VERY comfortable beds. also a really nice, free breakfast. Worth staying at
2006-06-20, New Air Conditioning did not work properly any of the 5 nights we were there. Bit disappointing :-(
2006-01-23, Heard of mice in the rooms
2006-01-20, The fire exit signs are to bright.
2006-01-13, The free breakfast was an awesome feature at this hostel.
2005-02-14, Was very clean. Staff was pretty strict about drinking inside rooms.
2010-09-01, happy days in the amsterdam jungle. thanks for the hospitality. see you next time
2007-08-13, I stayed there for four nits. The location is really great, just besides flower market.
2005-06-06, Window in room was broken. Shower smelled of urine. Key deposit was taken for checking out late!
2004-07-26, It may be better to inform guests that there are large flights of stairs, in case of heavy luggage.
2001-07-06, excellent spot.recommend to anyone to stay
2011-04-12, Excellent place to stay, spot on location at the centre of the city. Very helpful staff.
2012-08-08, Bed wasn't clean - mattress was pretty dirty. \r \r Very close quarters in the bedrooms.
2012-07-31, Amazing friendly and family like hostel would diffinatly use it again
2011-03-04, A pleasant stay. Small, but with all the necessities. Friendly staff.
2010-10-26, This hostel was AWESOME. The location was perfect and the staff was incredible. Stay here for a chill time.
2008-10-31, very nice, cruisy communal spaces, goood breakfast and great location. a bit pricey though.
2010-09-01, Good location, very good room, excellent staff.\r I will come back for sure !
2010-09-21, The stairs were too narrow to pass with a bag. Located right next to the red light district.
2008-03-14, The Flying Pig is the best Hostel iv ever been to and definitly the best in Amsterdam
2010-07-24, great place to stay, awesome location..definately looking forward to another stay there
2004-08-04, it was very, very dirty. Also, this is not the place for people who don't smoke weed.
2004-07-31, couldnt be in a better spot.
2004-07-29, great setup. lounge, bar, pool, great for meeting other people.
2012-11-01, Very good place, good staff, everything near from the hostel!
2010-06-24, Everything was perfect. Great location, great staff, funky and fun. I will be back!
2012-09-28, Room stunk at night. of sewage or stagnant water or something. room 305. beware man.
2012-04-11, The flying pig was amazing. Staff and bar were awesome!!
2011-08-31, Very good hostel, good location and excellent staff. The hostel is in a nice and relaxed area.
2012-11-29, Very welcoming staff! enjoyed my stay and the location is grate.
2012-11-29, Cheers for a great stay!
2012-11-25, There isn't free parking around the hostel.
2012-04-09, The worst hostel!!!!! I Hate flying pig...I only see drugs and ugly people!!!!!
2013-08-16, little showers and toilet. no toilet paper and no cleaning!
2012-03-01, Great staff and location. Great bar!
2012-03-01, Love this place
2012-03-01, Fantastic hostel with great staff and fun atmosphere - would stay again no problem.
2013-04-20, This is the worst hostel I have ever stayed in. Not a good value for the money at all.
2013-08-17, If you're in Amsterdam exclusively to get as high as possible, this is the hostel for you.
2009-12-29, It's a really nice place to meet people, the bar downstair is awesome.
2014-05-01, Best hostel ever. Very clean and the staff was just amazing. For sure we will be back.
2010-02-05, A great hostel, I was there 2 weeks. All the staff are awesome. Thanks guys
2008-08-16, They check me in very late.It"s one and half our later than I expected.
2008-06-15, Great spot near the museums and leidesplein. Staff are a bit slow, but such is the dutch way..
2009-12-06, Nice hostel, you can walk to the clubs and all the night life.\r \r They should have individual lamps.
2009-06-21, Very good situation in the centre of Amsterdam. But in the room, the window can't be locked.
2009-06-18, One of the better hostels i have stayed at easy to meet people.
2011-01-14, The dirtiest hotel i´ve ever been¡¡¡ Only one good thing, it has a good situation.
2008-06-15, Everything was OK, if you're looking for something cheap with basic staff I can recommend it.
2014-06-20, We would definitely stay here again! :) And the breakfast? Exquisite...
2010-10-28, dont stay here its quite a walk away from anywhere and it costs to much for what u get.
2012-10-18, This Hostel is way to expensive and the staff is not really kind.
2011-05-05, It is not a special hostel, but it is ok to stay 2 or 3 days...
2009-05-14, TrueLove was a great place to stay, and Sean was very nice and extremely helpful!
2012-01-14, Great hostel. Shame It's a bit far from the center but great value for money.
2006-07-07, beautiful flat on the canal. bathroom lacked privacy, but all else was fantastic. highly recommended.
2006-10-10, has potential but most people just sit in the lobby too high to even talk all day...A bit sketchy at times.
2010-07-21, bad doors and not so clean in the corridor. But the rooms are very nice and clean.
2010-05-18, The breakfast was great.
2009-08-21, good value and a great breakfast\r ggod public transport connections to Amsterdam
2005-05-26, Fun place to stay. Heavy Metal Breakfasts are the best. Couldn't have enjoyed it more.
2013-02-28, Definitely a lot of "character". It was a very cool/interesting hostel.
2009-08-18, Very cramped dorm rooms, ok for a few nights though.
2009-08-17, it was great for the price but far from everything
2011-04-09, Very nice location. Great Facilities . Surroundings well maintained and tidy. Would definetly return.
2007-10-21, Very nice and comfortable place, nice people, wonderful breakfirst included... mmmh
2007-09-16, course we had fun it was amsterdam but the hostel is a bit of a mish away from town....
2013-04-16, idylic little hostel right in the middle of Action. nice and chep bar downstairs, excellent music
2011-05-08, Very quite and beautiful place, best for taking a potion of fresh air, just 20 min from airport by bus.
2013-04-17, not too bad, just when I think about Amsterdam, It gives me royal pain in the ass.
2006-08-04, Way, WAY too much money for what I got. But then it is Amsterdam, so what can you do?
2006-03-13, the staff is very poor. other than that it was a lot of fun.
2012-10-07, The reception staff is very rude, and doesn't matter about your necessities.
2011-07-31, It is a party hostel.
2010-05-11, If you like camping you will love this place. Easy to get to from airport. Bus stop right in front
2013-06-14, Staff was extremely rude and unhelpful. But great location in the Red Light District
2013-06-11, I would have liked more power sockets to charge my phone. That is all.
2013-08-24, Great service, friendly staff and I loved the room service breakfast.
2006-08-01, Simple rooms short tram ride from the action. Great coffeeshop called greenhouse nearby.
2010-05-02, Very good looking, cheap and clean but far away from the centre of Amsterdam.
2007-11-25, Slightly further from the town centre than expected, but in the long run this proved to be a benefit.
2009-07-25, Very nice place. I would definetly go back again! The stuff was awesome!!!
2013-06-22, Very good hostel, perfect location and helpful staff, quite cheap. Thanks =)
2013-05-10, A really nice and clean place, just too little bathroom facilities.
2006-07-04, The rating will be much higher if the fees would be smaller...no good ratio quality/price
2008-09-24, Very nice. Need to make sure that the weather is going to be good though.
2006-05-22, good hostel, but FAR out of city. dont plan on having late nights if you stay here
2005-07-08, Very friendly caravan site.\r Loved the crazy sculptures
2011-04-15, was excellent will definatly book through them again
2010-09-01, Great atmosphere, lots to do awesome place to relax. Staff were excellent.
2012-07-13, Would not stay anywere else.best in dam
2011-01-12, A very good apartment. A bit expensive but it was clean and comfortable.
2011-02-04, No beds. Seriously, nothing but couches to sleep on. And couches don't come with linen apparently.
2013-09-09, Had a great time at Maggie and I will say there again made welcome value for money
2013-04-18, Very good restaurant downstairs\r Enjoy\r !!!!!!!!!!!!!!!!!
2007-03-20, thank you very much for your hospitality, and for proposing your nice boat to stranger travellers.
2012-07-12, Its a cheap and a little dirty hostel. The security is nearly nothing.. buts is a really ok to stay.
2012-10-16, Great hostel with great location, it would be great if they have some biger room for meeting people and it is very clean!
2012-07-15, A nice place, excellent location.
2005-04-13, Try to stay here if in Amsterdam, best sleeping of whole trip!
2005-04-30, we enjoyed the stay very much, allthought we had to walk some minutes to the center.
2005-04-05, This is very pleasant and cosy experience. We will come again.
2012-07-15, Just PERFECT!!!\r I'm looking forward to returning there! :)
2012-08-15, It was so quiet I felt bad for the folks still sleeping as I showered.
2012-12-02, turned heating off at day. and when confronted gave rude answers. the owner and wife were nice tho.
2013-03-27, People very polite...very clean!!we have a great time!! We recomend this hotel!!
2012-04-14, Quite compact room and far from central. But staff was very good and had good breakfast also
2014-05-30, really good hotel, very clean and new, lots of young people there, very nice atmosphere..
2010-02-19, The staff was good especially the woman! Very good trip in Amsterdam! \r thanks
2012-07-10, 10 Bed female room - clean, good facilities, couldn't have wished for more
2013-03-31, A nice place very close to important places in Amsterdam, the staff is excellent very nice. So would highly recommend
2010-05-17, friendly staff, nice location near enough to the city centre, yet far enough to be quiet and have green parks around to relax in.
2011-05-27, Staff was great very helpful, Great people to deal with. The Apartment was awesome very clean and you have everything you need and more. Location was perfect!
2010-07-20, great time as usual stayed with these a few times and they are alyways great
2010-07-13, Very big, very comfortable, great location, great staff, very safe, good bathroom... The best possible place of the whole of Amsterdam!
2011-10-13, Lovely apartment but sofas and bedding needs sorting eg double mattress on four poster and a sofa bed in front room , some modern lamps , and a bigger Telly . sheets and towels need replacing go for darker colours other than that lovely
2010-07-07, Although our first impression was marred because the apartment was not cleaned when we arrived, even though it was two hours after check in time. We then had to wait two more hours before getting in. It was eventually cleaned and it was a very nice apartment.
2010-06-13, The internet connection is non-existent. The playstation does not work properly and there are no dvd movies. Other than all this, the flat is great!
2010-04-11, This apartment is situated in the perfect place, close to everything very clean very friendly staff.
2010-08-13, Had lots of fun, but don't expect to meet anyone else staying at the "hostel", as there is no common area or anything like that. The apartment we stayed in was great, nice bedrooms and bathroom, large living room with a stove, fridge, freezer, aircon and tv.
2010-03-01, Great location! Nice and clean apartment. Strongly recommend!
2010-06-20, Make sure you call them and give them the exact time you will arrive at the hostel. If you do not, you will be stuck outside searching for their phone number. Otherwise, it was a great place right in the heart of the red light district.
2010-02-09, Nice place. Good location. Would highly recommend.
2010-01-24, ALL WAS PERFECT!!!GREAT PLACE!!
2010-01-18, very cool place to stay.. would deff go back there! location is brill also!
2009-12-27, everything was perfect!
2010-06-23, Very centrally located in an old house by a canal in the very center of historic Amsterdam. The manager was most helpful. We had a comfortable three room apartment, very quiet, near all the things we wanted to see and near the railroad station. The only disadvantage was the strairs, typical of old Amsterdam. They were very steep but the manager helped us withour suitcases. A really good buy all in all' lots of atmosphere.
2010-02-07, Very good apartment. Great location, very clean and very central in the red light district. Would recommend highly and will be definetly going back to stay again soon. Great!
2009-12-16, great place, great hostel... great apartment... best place in amsterdan to be...
2010-03-31, Very nice owners, really nice apartment and the location could NOT be better. Its perfectly in the middle of going-out locations, coffee shops and shops in general. Will definately be returning in the near future.
2009-09-27, Thanks to Nick over there, everything was great!
2009-12-21, this was a fantastic, place to stay, sooo big and right in the middle of the red light district! EXCELLENT!
2009-07-17, Very cool apartment in Amsterdam. Mark was friendly, good tips. Best thing, place is close to everything!
2009-12-03, it is a very nice place to stay in amsterdam. the apartement is perfect, clean, excellent rooms, in the center of the city. you can go everywhere on foot. And, most of alla, it is not expensive, compearing to most of the hostels\r enjoy your stay!!
2006-07-21, A great experience to stay on a great boat like this. Great breakfast and nice staff.
2006-01-01, Very nice place to stay in a good location. The little extras made this place a treat.
2012-08-23, it's close to the center - very nice stuff - but very noise - because on 1 floore there is several night clubs/
2008-01-21, I had so much fun at this hostel, very crowded but great for lone travellers wanting to meet people.
2012-01-14, ALL WAS GOOD,BUT I MISS A LOCKERS IN THE ROOMS.
2007-06-01, Really great place, but it's super noisy, so be ready for that.
2010-07-14, Great hostel with very nice staff. Shower and toilet was a bit small and dirty, but whatever. Had a great stay!
2014-05-20, Unfortunately, it's extremely noisy. The room facing the street should have a better noise isolation or, at least, any isolation.
2009-03-06, Don't count to much on the "free kitchen use", it's both unequipped and dirty! Breakfast is good though...
2011-04-22, Would be nice to have more bathrooms for the 12-mixed room... or a system/schedule. Many mornings were delayed... But overall, very good. I was afraid because of some bad reviews I'd read, but it was definitely good to me!
2011-04-22, Nice&affordable; hostel, excellent location.
2009-02-03, not the best place, but not bad.it is ok for two nights.good location.
2007-04-18, Even after a few days, I still cannot think of a bad thing about the place. STAY HERE!! Awesome.
2006-04-10, It's very comfortable, and it's very close from everywhere. Enjoy Amsterdam, it´s a wonderfull city.
2011-06-09, very good location,in a secure street and full of shop,all you need is a few meters from your hostel,(market,tobacco,restaurantsetc etc)
2012-07-10, It was a great hostel experience with friendly staff and a chill atmosphere. Love you guys. Keep it up!\r From Steve from South Korea
2009-01-27, dirty bathrooms and shower and so so so little room. the breakfast is poor, but the staff is very helpfull
2010-07-07, Very good apartment and very nice staff. However, the location is a bit poor. The breakfast is very good.
2011-04-28, Super Standort! 5 Min. vom Bahnhof entfernt, mitten in der Stadt. Der Königinnentag war einfach genial :o)
2010-04-19, great place to stay if u have a large group.. owner dirk was a great guy and very helpful...
2009-12-14, The Staff were very friendly and helpfull with many issues.i had everything i needed during my stay.
2011-07-14, Very nice location, if you're planning to discover Amsterdam having a base in the city centre, its a good place to stay. The hostel really needs a common room!! All activity in the hostel is happening in the dorms (had to make sandwiches in my own bed). Mice on the floor in the dorm during the night...
2011-06-10, Owner forgot to wake me up for my train, nearly missed it
2007-08-16, Lovely guesthouse, very clean, good location. I would recommend this place to anyone & would definitely come back
2009-08-19, Its very graet hostel in amsterdam. SUPER Location near to museumplein. Good staff :)))
2013-03-30, I wouldn't stay there again
2013-03-07, the beds are very uncomfortable.
2013-04-27, bad experience. if you've got better choices, this one is not recommended.
2013-07-15, close from central station and the downtown area. You can travel anywhere on foot from here. I met 3 staffs and they were all kind. Not that clean but no bugs.
2012-08-05, They add extra people. O there are more people at once than what you paid for. There is no area to chill at. It is not clean. Only good things are wifi and location
2013-04-26, The facilities are all quite poor and the bed sheets even got holes on them. We are living on the fifth floor of the building, and they don't even have an elevator! I don't really even bother to describe the washing room and the shower. They couldn't even make sure that you could always have hot water to use!
2012-09-03, El lugar de la recepción es uncuarto oscuro súper chiquito. Nadie habla espaniol ni francés, así que es imposi le la ayuda o comunicarwe para lo indispensable. No hay ascensor y hay que subir, o bajar, cuatro pisos por las escaleras. No es recomendable, salvo por la cercanía a la estación central, y no es económico.
2012-01-26, best hostel in amsterdam !!!!
2011-12-16, It were mice!!!!\r And there is no kitchen, only a fridge and a microwaves!!!l
2009-06-25, Really awesome place, definitely worth every penny of it. It's so close to all the attractions, there's no need for public transportation at all!
2012-05-01, Lots of people for limited showers/toilets. Some of the toilets were broken or without a seat while we were there. Staff tried to keep it clean but perhaps over cleaned so the floors were always wet and therefore muddy. \r Lockers available as a positive and great location.
2012-05-17, It was a really nice place, two steps from the Red Light District. Staff was friendly and helpful. The worse part was the cleanliness : The cleaning lady wasn't really working hard and seemed drunk or something the few times I've seen her. I hope that at least my bed sheets were washed. The room was so dusty that my girlfriend mopped the floor.
2011-09-12, There was no common room but our room was very large so it was fine to hang out there. Some people did have to sleep wih mattresses on the floor
2011-09-02, Very expensive for a huge dormitory ( 20 people ) without kitchen bar or a common room. And as a dormitory of 20 people there were noise...
2012-10-16, Estuvimos en el dormitorio femenino de 10 camas, y muy bien.Pero otros amigos en los dormitorios comunes estuvieron bastante mal, mucho ruido, suciedad y frio.No hay zonas comunes,asi que casi nula interacción con otros huespedes.El personal regular, poco dominio del inglés en general.
2011-06-19, Perfect location and a perfect spot for the budget traveller :)
2011-06-14, really neat spot, the stairs will seem like nothing in a day or two
2013-05-24, Thin mattress & pillow, broken bathroom door, bad lamps, no plug, etc.\r What's really bad is the fact that through a door in the 10-bed female dorm I was in was an apartment for one of the guys that works in the hostel. No one even bothered to tell me this when I checked in, and it took two times going down to the desk to get an answer out of them. I understand that the building is old and sometimes things are set up that way, but YOU NEED TO TELL THE PEOPLE STAYING THERE. Do not stay here.
2011-06-12, Staff was very friendly tried to help the best way they can. Very safe and clean.
2011-07-13, Very uncomfortable beds, there were mice running around on the floor every night, and the staff didn't care. At one time there were at least 4 mice at the same time, in the same room. Also overall a bit shabby hostel. But location is great, and though it wasn't really cheap at all, it was the cheapest hostel we could find.
2011-09-12, There's no common area or kitchen (there is a small fridge and a microwave, I wish more hostel without a kitchen thought of that much so food dosn't get spoiled). The dorm kind of doubles as the common pre drinks party area which is fine I had no trouble sleeping either night but I think that might be a sign how tired I was. generally anywhere with a bed and a shower free WiFi is great. I really enjoyed my time in this hostel
2011-06-06, We stayed in the 20-bed room. Others in the room were decently respectful of others' sleep. The showers were very nice, the toilets smelled a bit, but were otherwise fine. There is someone at the front desk at all times besides when they lock the doors from 4am to 6am. We really enjoyed the weird charm of this place. Very nice for the price.
2011-05-26, Everything was fine except for a couple mice we saw running around the dorm room.
2011-05-24, nearly no kitchen there\r picture on webpage don´t schow the truth
2011-06-10, This is by far the worst hostel I've stayed in. It's a large 20 bed room that smells awful. The staff doesn't care about anything.\r The hostel has a lookout of 4am-6am which can stink if you're out late partying. It is extremely noisy in the room from street traffic because you within eye view of some of the Red Light District. Highly recommend against
2011-05-19, The staff at Aivengo was extremely nice and accommodating! It was exactly what I expected for a hostel and my friends and I really had a good experience.
2011-05-17, The female room, with 10 beds, is very good. Clear, clean, with big windows. The only problem is that it is on the 5th floor, and there isnt a lift. The bed is not so comfortable. The location is good, the staff are friedly. I recomend it :)
2011-05-16, My stay at this hostel was ok. It is pretty close to all the action. The dorms are kinda stinky and so are the blankets. The showers and bathrooms were pretty clean. Dont leave anything valuable out. I got my i-pod stolen from off my bunk while I was sleeping. Overall it was ok.
2011-06-07, There was a mouse in the room!!! But apart from that the location is great, I thought it was going to be akward sleeping with 18 more people, but at night it was really quiet and you could sleep with no prob. The bathrooms are clean, but its part of the general common area (so everyone can see you brushing your teeth). We didnt have any security problems, in general de Hostel was good for just 2 nights.
2011-05-14, The bathroom was clean and new. However we had to go trough the lobby from the room. I also disliked the fact that the staff almost got my stuff on the floor because i was 10 min off the check-out hour. I guess they're on hurry to make more money.
2011-05-15, this hostel is not good, too dark, and feel insecure, the staff is indifferent, and not helpful at all. the room is also dark and not clean :(
2011-05-08, staffs there are really nice and room is clean
2011-05-12, We stayed in a douple private ensuite and the room was amazing. Nothing to complaint about it. The room was big, had a balcony, the bathroom was also big and had a jacuzi!!! Although the room was in the 6th floor, without a lift, the view worthwhile. \r The hostel's entrance don't look so clean, they need to work on that.
2011-05-17, Good security lockers, good security in general. Great staff! Very nice and helpful. Great location as well. Very near the train station and easy walking to everywhere else. No lounges to hang out in, and seeing as my friend and I would come back with food late at night, wanting to talk and play cards or something, we wanted some sort of a lounge room. Sheets were a little beat up, kinda gross to sleep on.
2011-05-12, Improve ventilation system in the bedrooms; put good curtains in the bedrooms; fix another computer; change check out to midday.
2011-05-04, For a female dorm we sure had a male in our room... it is a problem
2011-04-26, I booked a twin room in this hostel, and i was with a friend. We really liked the room, which is simple but sufficient for two nights. Perhaps one disadvantage; up the six floors ahah! We recommend this hostel for those who go down in amsterdam. Great price and located next to the train station and centrum!\r Have a good trip !
2011-04-20, Excellent location.
2011-04-28, A good hostel, next to the centraal station. Clean showers and rooms. No problems to sleep even at the queens night.good computer acces.\r Problems: 1_ small lockers 2_no common room 3_ No USb entrace in computers or printers\r If you cant stay in voldelpark, i would stay in aivengo
2011-04-23, This hostel is in a good location. However, all this place has is beds and bathroom. No place to hang out and chill, or to socialise. From what I hear about other hostels in Amsterdam, I can only recommend this place if all others are full, which they were when I booked.
2011-04-16, very big rooms, noisy roommates will ruin your sleep, but not the hostels fault. very good overall. mattress is thin and poked me through it but I could still sleep.
2011-04-07, Great location but very gross beds and bathrooms. It was not unbearable but I would strongly advise against staying here.
2011-04-05, It would be better if there's place to hang clothes. \r The side that we stayed at has poor/nil wifi connection.
2011-04-10, I spend at Aivengo 2 nights and I only have very good memories. The room was spacious and the bed comfortable, a young & tall Dutch guy at the reception extremely kind and helpful with everything. My best experience with hostels ever!
2011-04-03, besides the crazy walk to get to the room (6 flights!), everything was pretty good. main guy at the front desk was super nice and helpful.
2011-03-31, The beds were very uncomfortable. Staff were good. Free internet terminals were good. Drinking in rooms was allowed which was good. Showers were good although started to run out of hot water if too many people used them
2011-03-26, if you find something better, go for it!!!
2011-03-30, Stayed in the female dorm for 5 nights. The bed wasn't very comfy. By 'kitchen' they mean a fridge and a microwave. And it's a 12-bed instead of 10-bed dorm. The rent is rather cheap on weekdays.
2011-04-03, We stayed at the top floor (5th) and we ended up crawling up to the top every night. However we enjoyed every step of it. Hostel was well lovely and clean, in a perfect location. I had an amazing time in amsterdam and I highly recommend this hostel! - very cheap as well :)
2011-04-22, So, If you wanna stay there, I recommend. Good location, near the central station and to the tourist attractions of the center of the city. You can also rent a bike and do a tour through the nice city bikeways! The hostel has rooms on the ground floor and one more on the 4th floor. I stayed in this last one and I had a little difficult with the many stairs and two keys that we need to use to enter the room ( you have to consider that Amsterdam it's a freak out city). But the room was nice, safe, clear and b
2011-03-21, Everything was great, if you don't mind a stray bug, and climbing 5 sorries on small round steps.
2011-03-23, The location of the hostel is excellent and thats it. Beds like in jail, mice instead of sockets in the room and the hostel closes the doors from 4 to 6 am and doesnt let people in. As all clubs close at 3.30 this can be pretty inconvenient. Apart from that its a nice place to stay because of the location and the good prices during the week.
2011-03-18, The staff was very friendly, but I would never stay here again. The hostel was noisy, crowded, unsafe, and rather dirty.
2011-05-04, The location of the hostel is excellent, only 5 minutes from the central station, 5 or so min to the Red Light District and Dam Square! The only downside is I was in the 5th floor and the stairs are soo steep I got dizzy everytime going up and down...Cleaning could have been better, the cleaning lady only changed the sheets, but didn't clean the bathroom or replenish the toilet paper for my whole stay!
2011-03-25, Didn't look much like the pictures shown on their website. Originally freaked out because we booked an all female dorm, and it is not located on the first floor where you check in, but we didn't realize this while waiting in line! Thankfully, the all female dorm is located up 4 flights of steep stairs which provides another layer of security! Definitely a great location so close to Centraal Station and all the trams. We walked EVERYWHERE which compensated for our consumption of french fries and waffle coo
2011-03-10, Blankets smelled and the bathrooms smelled awful. The drains in the shower don't drain.
2011-03-18, Aivengo Hostel was unique and a good hide-away. The room we stayed in was nice, and cleanliness was better than many hostels I've stayed at. Staff was awesome- fun and friendly.
2011-03-16, Would have been great if there's a common place for everyone to hangout. No complaints though since location is very good and its a value for money place. Free wifi is available and staff are very friendly.
2011-03-26, AWESOME location- 5 minute walk from the train station and close to the center of town. Tram stations are just around the corner to get to the museumplein as well. Rooms were clean, but the bed I was assigned to was broken on one end and when i first sat down on it the mattress fell through... There was a fridge and microwave in our room which was great because there is no breakfast. Towels are provided and the showers were hot. Overall- would definitely stay there again!
2011-03-03, Excellent Location. 10 Min walk from Amsterdam Central Station. In the heart of entertainment and tourist attraction. The dorm was a bit cold, bring your sleeping bag.
2011-03-01, Well I was fine with the hostel until I saw the mice running under my bed. Then we discovered a mouse trap under my friend's bed so the hostel clearly already knew about the problem, but nothing was said. Also the light was out by our corner so I could never see anything. We basically tried to spend as much time as possible out of the hostel.
2011-02-28, One thing that the hostel might want to think about is installing a proper lock on the door to the storage room, just removing the door knob isn't all that secure.\r \r Thanks for a great stay, the staff was really nice and made our trip a pleasure!
2011-10-16, The 4th floor room is really cosy and nice. The stuff was very friendly, specially the Check. Republic guy, Vratislav, he is really helpfull and friendly all the time. Thank you very much!!!!!!
2011-03-05, We had booked four beds in a 10-bed dorm for girls, but it there were actually 12 beds in there. The beds were somewhat uncomfy and it was quite cold during the night, but we didn't mind. Just bring warm pyjamas :) Also taking your own towel with you might be a good idea, because the provided towel can be very small (some of them were bigger than the others). There's a fridge, toaster, water boiler and a microwave in the kitchen. There also was a stove but the sign said that it's not usable for safety reaso
2011-01-20, Bella camera in posizione tranquilla ma in centro,stupenda veduta dalle finestre,anche un balcone...Reception disponibile e cortese! +++++
2011-01-21, perfect location close to the main train station, right on the cusp of the red light district, there are three 'çoffee shops' within a 100m walk...
